epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.26742,3.15204,5.18361,3.49389,0.44217,0.06313,0.12964,0.08719,2.50435,3.37765,2.83337,0.09604,4e-05,4e-05
2,10.7478,2.64007,4.62451,3.00403,0.00423,0.62879,0.03242,0.00842,2.46951,4.40372,2.87109,0.09109,8.99945e-05,8.99945e-05
3,17.9578,2.20465,3.82521,2.55792,0.46929,0.18182,0.25905,0.05709,2.22653,3.86276,2.33685,0.08614,0.000139966,0.000139966
4,26.9978,1.77673,3.60632,2.28935,0.22633,0.54545,0.09236,0.01801,2.43437,21.8768,2.6758,0.0811899,0.000189896,0.000189896
5,35.9914,1.76062,3.19007,2.06048,0.00013,0.09091,0.00013,6e-05,3.87471,354.801,5.02522,0.0762398,0.000239766,0.000239766
6,44.7783,1.61865,3.11416,2.03225,0.28664,0.37879,0.03093,0.01433,2.24805,105.688,2.6402,0.0712896,0.000289557,0.000289557
7,53.8151,1.65913,2.84511,1.9857,0,0,0,0,1.95,inf,2.38932,0.0663393,0.000339253,0.000339253
8,62.8169,1.42765,2.62906,1.86312,0.18476,0.44372,0.0086,0.00352,1.97656,inf,3.0684,0.0613888,0.000388834,0.000388834
9,73.4114,1.49925,2.45013,1.82329,0.02504,0.74242,0.06403,0.02931,1.82739,inf,4.10464,0.0564383,0.000438283,0.000438283
10,81.2139,1.47135,2.55542,1.79412,0.0094,0.36364,0.09907,0.05828,1.81281,inf,4.10898,0.0514876,0.00048758,0.00048758
11,89.7416,1.35474,2.35416,1.75234,0.1044,0.56061,0.19223,0.06893,1.82145,inf,6.56045,0.0465367,0.000536709,0.000536709
12,101.417,1.35455,2.43227,1.75749,0.11317,0.28788,0.03609,0.01739,2.19297,inf,5.46064,0.0415857,0.000585651,0.000585651
13,108.764,1.34946,2.33883,1.68149,0.36803,0.24242,0.14474,0.07898,2.11408,inf,4.84125,0.0366344,0.000634389,0.000634389
14,118.004,1.26171,2.24281,1.64051,0,0,0,0,2.35605,inf,4.1433,0.0316829,0.000682904,0.000682904
15,128.534,1.28869,2.24604,1.72362,0.18391,0.18182,0.00355,0.00067,4.43323,inf,11.6731,0.0267312,0.000731178,0.000731178
16,133.976,1.12786,2.00878,1.58153,0.00278,0.47727,0.00549,0.001,4.16436,inf,13.7929,0.0217792,0.000779195,0.000779195
17,140.597,1.32741,2.1334,1.68287,0.09558,0.40152,0.10044,0.01012,3.12171,inf,9.08537,0.0168269,0.000826937,0.000826937
18,150.472,1.38171,2.03656,1.69059,0.09817,0.25,0.05824,0.01057,3.17134,inf,9.849,0.0118744,0.000874386,0.000874386
19,161.047,1.34741,2.06827,1.71315,0.11426,0.2197,0.04576,0.03189,3.04065,inf,7.52352,0.00692152,0.000921525,0.000921525
20,169.397,1.28567,2.01058,1.62069,0.20957,0.56061,0.13007,0.06742,2.21322,167.142,4.72076,0.00196834,0.000968336,0.000968336
21,176.468,1.08184,1.89948,1.48042,0.11804,0.51679,0.06023,0.01504,2.69505,85.0368,7.14372,0.000975773,0.000975773,0.000975773
22,186.655,1.27775,2.16034,1.60092,0.28385,0.13636,0.10733,0.02323,2.927,132.124,6.53338,0.000973312,0.000973312,0.000973312
23,194.031,1.10481,1.9011,1.43888,0.38979,0.24242,0.03682,0.01089,2.46963,68.2543,4.69782,0.000970736,0.000970736,0.000970736
