epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,195.091,0.67611,0.70529,1.04961,0.90128,0.86711,0.93619,0.75129,0.78826,0.60706,0.96524,0.000828443,0.000828443,0.000828443
43,199.652,0.68297,0.7209,1.07906,0.85854,0.89542,0.90273,0.75891,0.63841,0.63818,0.85144,0.000820525,0.000820525,0.000820525
44,204.145,0.62583,0.69881,1.03092,0.9368,0.87219,0.93255,0.80189,0.66573,0.55698,0.8876,0.000812468,0.000812468,0.000812468
45,208.595,0.6125,0.68618,1.03993,0.88653,0.83488,0.91954,0.81419,0.64292,0.51728,0.81834,0.000804277,0.000804277,0.000804277
46,212.935,0.64692,0.71069,1.0369,0.94704,0.86264,0.92421,0.8163,0.57727,0.53496,0.79273,0.000795954,0.000795954,0.000795954
47,217.447,0.61675,0.66581,1.03304,0.93396,0.85292,0.93037,0.82242,0.57012,0.50337,0.79018,0.000787503,0.000787503,0.000787503
48,221.922,0.59071,0.64725,1.02651,0.96731,0.8638,0.92919,0.83822,0.56624,0.45348,0.77554,0.000778929,0.000778929,0.000778929
49,226.383,0.62739,0.67289,1.0498,0.86713,0.89208,0.92068,0.79518,0.69987,0.47204,0.8549,0.000770234,0.000770234,0.000770234
50,231.042,0.62593,0.67191,1.02382,0.892,0.88844,0.92913,0.81289,0.71935,0.47882,0.93182,0.000761423,0.000761423,0.000761423
51,235.9,0.61494,0.64312,1.04033,0.88859,0.90106,0.94072,0.80559,0.67468,0.49367,0.88061,0.0007525,0.0007525,0.0007525
52,240.187,0.63919,0.69829,1.05929,0.91707,0.90173,0.93464,0.7961,0.78792,0.55847,0.9331,0.000743468,0.000743468,0.000743468
53,244.647,0.57117,0.58912,1.02021,0.96668,0.87687,0.93944,0.85472,0.56241,0.48548,0.81659,0.000734332,0.000734332,0.000734332
54,249.247,0.5807,0.628,0.99927,0.91148,0.88817,0.94563,0.80581,0.66664,0.44698,0.87028,0.000725094,0.000725094,0.000725094
