epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.3126,2.68191,3.2579,2.43015,0.25238,0.35057,0.14562,0.06756,2.38234,17.8651,2.2352,0.0808828,0.000193103,0.000193103
2,24.6073,1.91148,1.89563,1.8451,0.18771,0.45433,0.19879,0.11069,1.98283,4.27701,2.03703,0.0610824,0.000392719,0.000392719
3,36.5293,1.78414,1.63513,1.74944,0.28638,0.34062,0.24466,0.11563,2.07297,3.53414,2.2907,0.0412804,0.000590788,0.000590788
4,48.1327,1.64296,1.47426,1.67561,0.57919,0.21635,0.28243,0.15373,2.091,2.08001,2.06848,0.0214758,0.00078615,0.00078615
5,59.6293,1.5851,1.42751,1.61806,0.41448,0.36371,0.30255,0.17165,1.81245,3.29253,1.82662,0.00166731,0.000977659,0.000977659
6,71.2062,1.58022,1.35992,1.6154,0.40534,0.51387,0.46376,0.26997,1.72427,1.80021,1.74539,0.000975773,0.000975773,0.000975773
7,82.9422,1.51184,1.29801,1.56506,0.3655,0.51874,0.44974,0.26219,1.63884,1.36615,1.6573,0.000965239,0.000965239,0.000965239
8,94.1907,1.49337,1.21716,1.54866,0.49579,0.51607,0.50087,0.31615,1.52001,1.32215,1.57104,0.000952889,0.000952889,0.000952889
9,105.662,1.44433,1.18565,1.50245,0.58917,0.57715,0.57416,0.36928,1.50546,1.11975,1.56434,0.000938772,0.000938772,0.000938772
10,117.252,1.40462,1.12812,1.50213,0.55944,0.53069,0.54436,0.28403,1.68905,1.12081,1.59878,0.000922942,0.000922942,0.000922942
11,128.495,1.38544,1.12157,1.48527,0.5659,0.49087,0.53887,0.34015,1.46657,1.09876,1.59967,0.000905463,0.000905463,0.000905463
12,140.028,1.32464,1.03821,1.42626,0.6457,0.61309,0.65577,0.4178,1.47258,1.05425,1.43369,0.000886404,0.000886404,0.000886404
13,151.755,1.33976,1.05421,1.44097,0.60579,0.58842,0.6509,0.42964,1.42445,1.00927,1.46104,0.000865839,0.000865839,0.000865839
14,163.397,1.2832,0.99985,1.38497,0.56273,0.6652,0.6319,0.41895,1.40362,0.9733,1.41474,0.000843851,0.000843851,0.000843851
15,174.639,1.26863,0.98122,1.38031,0.68545,0.65562,0.71175,0.45531,1.455,0.86834,1.40926,0.000820525,0.000820525,0.000820525
16,186.12,1.22213,0.94381,1.367,0.649,0.66363,0.69511,0.485,1.2535,0.86718,1.33296,0.000795954,0.000795954,0.000795954
17,197.762,1.16746,0.90553,1.32527,0.73459,0.64303,0.7327,0.50062,1.27216,0.79626,1.31315,0.000770234,0.000770234,0.000770234
18,209.507,1.19972,0.91042,1.33044,0.70809,0.64849,0.70768,0.48649,1.27385,0.823,1.34891,0.000743468,0.000743468,0.000743468
19,220.82,1.20201,0.88241,1.31095,0.68004,0.69536,0.74561,0.50395,1.31212,0.82965,1.32686,0.000715761,0.000715761,0.000715761
20,232.305,1.13325,0.85867,1.30308,0.7768,0.68937,0.7847,0.51141,1.37512,0.7755,1.31981,0.000687222,0.000687222,0.000687222
21,243.818,1.08944,0.821,1.25919,0.74576,0.69479,0.77399,0.56887,1.13997,0.72353,1.24105,0.000657963,0.000657963,0.000657963
22,255.733,1.11714,0.83201,1.2767,0.80308,0.65358,0.7976,0.60524,1.06791,0.70576,1.19814,0.000628101,0.000628101,0.000628101
23,267.292,1.08603,0.8038,1.26651,0.76824,0.72875,0.81121,0.57214,1.20094,0.74763,1.2464,0.000597754,0.000597754,0.000597754
24,278.661,1.06817,0.77741,1.24791,0.78432,0.7051,0.82031,0.61146,1.09512,0.68921,1.21312,0.00056704,0.00056704,0.00056704
25,290.298,1.03724,0.76586,1.22099,0.8334,0.6884,0.82522,0.62902,1.06072,0.66968,1.18359,0.000536081,0.000536081,0.000536081
26,301.883,1.03846,0.75785,1.21274,0.81174,0.76663,0.85849,0.67533,0.96935,0.62328,1.15986,0.000505,0.000505,0.000505
27,313.559,1.01344,0.71842,1.19044,0.80858,0.77413,0.85447,0.65873,0.96437,0.63317,1.14468,0.000473919,0.000473919,0.000473919
28,324.88,1.02194,0.724,1.21303,0.80616,0.80226,0.88623,0.6865,0.99516,0.62008,1.13541,0.00044296,0.00044296,0.00044296
29,336.43,0.97259,0.68273,1.17148,0.79932,0.83099,0.8907,0.60844,1.273,0.641,1.22412,0.000412246,0.000412246,0.000412246
30,347.691,0.96817,0.69691,1.17013,0.84624,0.8207,0.88703,0.69567,1.01134,0.6034,1.13067,0.000381899,0.000381899,0.000381899
31,359.221,0.91277,0.65394,1.14873,0.80847,0.85781,0.88754,0.68992,0.96494,0.58752,1.11589,0.000352037,0.000352037,0.000352037
32,370.844,0.91421,0.63681,1.14318,0.79311,0.86797,0.88808,0.71271,0.90644,0.57342,1.09778,0.000322778,0.000322778,0.000322778
