epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.88471,1.19729,1.22622,1.72135,0.52797,0.69012,0.90744,0.57838,1.39596,2.04885,1.58553,0.09604,4e-05,4e-05
2,15.5137,1.09496,1.44489,1.5475,0.53781,0.46284,0.58854,0.23187,2.27864,3.95681,2.23359,0.09109,8.99945e-05,8.99945e-05
3,23.1972,1.14014,1.76598,1.52505,0.074,0.64394,0.18058,0.03287,4.10465,10.6619,4.87226,0.08614,0.000139966,0.000139966
4,30.4773,1.16384,1.51506,1.6177,0.71403,0.23651,0.25913,0.05321,4.02492,4.15117,5.25942,0.0811899,0.000189896,0.000189896
5,39.1862,1.16827,1.5272,1.47259,0.58699,0.63484,0.63885,0.4483,1.73797,2.98789,1.85807,0.0762398,0.000239766,0.000239766
6,48.0388,1.17322,1.46968,1.61154,0.8424,0.65152,0.86226,0.60257,1.37088,1.729,1.64831,0.0712896,0.000289557,0.000289557
7,56.088,1.05501,1.3772,1.42032,0.72871,0.67424,0.75738,0.63339,1.07823,2.16765,1.34133,0.0663393,0.000339253,0.000339253
8,65.9327,1.03301,1.25865,1.45491,0.79891,0.57746,0.74141,0.61344,1.2259,3.78803,1.62233,0.0613888,0.000388834,0.000388834
9,74.4434,1.02326,1.34278,1.398,0.7669,0.69697,0.79841,0.5424,1.5274,3.51303,2.24141,0.0564383,0.000438283,0.000438283
10,82.8555,1.10287,1.46163,1.43561,0.46198,0.67749,0.62761,0.42881,1.68308,3.09556,2.18631,0.0514876,0.00048758,0.00048758
11,90.857,1.03174,1.21713,1.45747,0.50975,0.66594,0.81505,0.50991,1.72893,5.39057,2.87213,0.0465367,0.000536709,0.000536709
12,99.8841,1.02293,1.35752,1.43889,0.7877,0.57397,0.75438,0.5914,1.49656,5.85102,2.52286,0.0415857,0.000585651,0.000585651
13,107.016,1.06009,1.21173,1.42816,0.90909,0.59693,0.74058,0.61634,1.21219,3.33876,1.76561,0.0366344,0.000634389,0.000634389
14,115.613,0.99799,1.3362,1.37198,0.51348,0.15984,0.2699,0.13923,2.40053,5.0186,3.8336,0.0316829,0.000682904,0.000682904
15,124.515,0.96402,1.25237,1.3839,0.46864,0.69697,0.6024,0.32485,1.80186,11.1445,3.11414,0.0267312,0.000731178,0.000731178
16,132.67,0.8058,1.09689,1.28312,0.71319,0.45518,0.54261,0.42646,1.52867,4.10827,2.53688,0.0217792,0.000779195,0.000779195
17,144.546,1.07037,1.46367,1.48209,0.69136,0.69697,0.76,0.63014,1.40202,2.96218,2.60512,0.0168269,0.000826937,0.000826937
18,151.372,0.99207,1.22987,1.39461,0.69946,0.74242,0.7507,0.56509,1.54714,3.15524,3.04484,0.0118744,0.000874386,0.000874386
19,161.778,1.00615,1.18387,1.38738,0.51901,0.58009,0.54939,0.41313,1.59536,5.04972,2.25889,0.00692152,0.000921525,0.000921525
20,173.741,1.06533,1.28045,1.42817,0.78049,0.23658,0.40279,0.32061,1.28666,5.28339,1.69778,0.00196834,0.000968336,0.000968336
21,182.358,0.88541,1.13646,1.2938,0.66395,0.78788,0.65505,0.47085,1.46577,3.19823,2.36794,0.000975773,0.000975773,0.000975773
22,193.652,0.98339,1.24605,1.34152,0.83237,0.65152,0.75884,0.5767,1.29582,2.01259,1.81138,0.000973312,0.000973312,0.000973312
23,203.533,0.90103,1.16068,1.30918,0.888,0.58442,0.77525,0.54163,1.47944,2.12971,2.23838,0.000970736,0.000970736,0.000970736
24,213.532,0.98848,1.2535,1.37338,0.61109,0.46753,0.44677,0.3152,1.73342,3.38459,3.33016,0.000968045,0.000968045,0.000968045
25,221.281,0.9094,1.09726,1.32383,0.60841,0.3961,0.46998,0.07672,3.69864,4.40499,6.01835,0.000965239,0.000965239,0.000965239
26,231.679,1.0485,1.24797,1.46895,0.82414,0.29221,0.43479,0.09347,3.76506,4.08227,6.5416,0.00096232,0.00096232,0.00096232
27,241.906,1.03246,1.17244,1.38572,0.73786,0.31818,0.48189,0.09305,3.74637,4.25727,6.76035,0.000959289,0.000959289,0.000959289
28,250.933,0.8945,1.06041,1.33584,0.36856,0.61616,0.54132,0.44768,1.30007,3.09485,1.75087,0.000956145,0.000956145,0.000956145
29,258.781,0.86679,1.09766,1.27787,0.49191,0.51515,0.52425,0.44071,1.22302,2.81373,1.81544,0.000952889,0.000952889,0.000952889
30,268.943,0.91992,1.19201,1.32395,0.68773,0.48918,0.59227,0.51186,1.30056,2.60872,2.12554,0.000949524,0.000949524,0.000949524
31,279.2,0.93068,1.10299,1.37259,0.73559,0.52932,0.68912,0.56771,1.41766,2.12473,2.80886,0.000946048,0.000946048,0.000946048
32,287.746,0.91696,1.1331,1.28778,0.70513,0.4697,0.54579,0.31027,2.01126,3.81741,3.43264,0.000942464,0.000942464,0.000942464
33,292.977,0.86127,1.00149,1.31286,0.59829,0.56061,0.56772,0.20651,2.51445,6.91365,4.2459,0.000938772,0.000938772,0.000938772
34,302.351,0.74251,0.87526,1.20151,0.44807,0.57922,0.49848,0.1774,2.37969,6.11592,3.96432,0.000934973,0.000934973,0.000934973
35,312.144,0.77529,0.89658,1.23582,0.41865,0.35281,0.34007,0.13199,3.08247,5.37096,4.97302,0.000931067,0.000931067,0.000931067
36,322.878,0.77136,0.85433,1.24713,0.39831,0.31061,0.46654,0.11979,3.36957,3.4268,5.57405,0.000927057,0.000927057,0.000927057
37,330.954,0.83275,0.82242,1.28266,0.57135,0.47944,0.55793,0.24196,2.74817,3.06902,4.2839,0.000922942,0.000922942,0.000922942
38,339.773,0.85292,0.86168,1.34221,0.53971,0.44869,0.50828,0.24959,2.0242,5.23186,3.14783,0.000918725,0.000918725,0.000918725
